Customer ID,Referred a Friend,Number of Referrals,Tenure in Months,Offer,Phone Service,Avg Monthly Long Distance Charges,Multiple Lines,Internet Service,Internet Type,Avg Monthly GB Download,Online Security,Online Backup,Device Protection Plan,Premium Tech Support,Streaming TV,Streaming Movies,Streaming Music,Unlimited Data,Contract,Paperless Billing,Payment Method,Monthly Charge,Total Charges,Total Refunds,Total Extra Data Charges,Total Long Distance Charges,Total Revenue,Dependents,Number of Dependents,Gender,Age,classify age ,Under 30,Senior Citizen,Married,Satisfaction Score,Customer Status,Churn Label,customer_status,Churn Value,Churn Score,CLTV,Churn Category,Churn Reason,City,Zip Code,Population
0002-ORFBO,Yes,2,9,None,Yes,$42.39 ,No,Yes,Cable,16,No,Yes,No,Yes,Yes,No,No,Yes,One Year,Yes,Credit Card,$65.60 ,$593.30 ,$0.00 ,0,$381.51 ,$974.81 ,No,0,Female,37,Middle-Aged Adults,No,No,Yes,3,Stayed,No,client,0,65,2205,,,Frazier Park,93225,4498
0003-MKNFE,No,0,9,None,Yes,$10.69 ,Yes,Yes,Cable,10,No,No,No,No,No,Yes,Yes,No,Month-to-Month,No,Credit Card,$59.90 ,$542.40 ,$38.33 ,10,$96.21 ,$610.28 ,No,0,Male,46,Middle-Aged Adults,No,No,No,5,Stayed,No,client,0,66,5414,,,Glendale,91206,31297
0004-TLHLJ,No,0,4,Offer E,Yes,$33.65 ,No,Yes,Fiber Optic,30,No,No,Yes,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,$73.90 ,$280.85 ,$0.00 ,0,$134.60 ,$415.45 ,No,0,Male,50,Middle-Aged Adults,No,No,No,1,Churned,Yes,churned,1,71,4479,Competitor,Competitor had better devices,Costa Mesa,92627,62069
0011-IGKFF,Yes,1,13,Offer D,Yes,$27.82 ,No,Yes,Fiber Optic,4,No,Yes,Yes,No,Yes,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,$98.00 ,"$1,237.85 ",$0.00 ,0,$361.66 ,"$1,599.51 ",No,0,Male,78,senior,No,Yes,Yes,1,Churned,Yes,churned,1,91,3714,Dissatisfaction,Product dissatisfaction,Martinez,94553,46677
0013-EXCHZ,Yes,3,3,None,Yes,$7.38 ,No,Yes,Fiber Optic,11,No,No,No,Yes,Yes,No,No,Yes,Month-to-Month,Yes,Credit Card,$83.90 ,$267.40 ,$0.00 ,0,$22.14 ,$289.54 ,No,0,Female,75,senior,No,Yes,Yes,1,Churned,Yes,churned,1,68,3464,Dissatisfaction,Network reliability,Camarillo,93010,42853
0013-MHZWF,No,0,9,Offer E,Yes,$16.77 ,No,Yes,Cable,73,No,No,No,Yes,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Credit Card,$69.40 ,$571.45 ,$0.00 ,0,$150.93 ,$722.38 ,Yes,3,Female,23,Adolescents,Yes,No,No,3,Stayed,No,client,0,55,5108,,,Midpines,95345,433
0013-SMEOE,Yes,1,71,Offer A,Yes,$9.96 ,No,Yes,Fiber Optic,14,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,Yes,Bank Withdrawal,$109.70 ,"$7,904.25 ",$0.00 ,0,$707.16 ,"$8,611.41 ",No,0,Female,67,senior,No,Yes,Yes,3,Stayed,No,client,0,26,5011,,,Lompoc,93437,6165
0014-BMAQU,Yes,8,63,Offer B,Yes,$12.96 ,Yes,Yes,Fiber Optic,7,Yes,No,No,Yes,No,No,No,No,Two Year,Yes,Credit Card,$84.65 ,"$5,377.80 ",$0.00 ,20,$816.48 ,"$6,214.28 ",No,0,Male,52,Middle-Aged Adults,No,No,Yes,4,Stayed,No,client,0,49,4604,,,Napa,94558,63947
0015-UOCOJ,No,0,7,Offer E,Yes,$10.53 ,No,Yes,DSL,21,Yes,No,No,No,No,No,No,Yes,Two Year,Yes,Bank Withdrawal,$48.20 ,$340.35 ,$0.00 ,0,$73.71 ,$414.06 ,No,0,Female,68,senior,No,Yes,No,3,Stayed,No,client,0,34,5525,,,Simi Valley,93063,49027
0016-QLJIS,Yes,3,65,None,Yes,$28.46 ,Yes,Yes,Cable,14,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,Yes,Credit Card,$90.45 ,"$5,957.90 ",$0.00 ,0,"$1,849.90 ","$7,807.80 ",Yes,1,Female,43,Middle-Aged Adults,No,No,Yes,3,Stayed,No,client,0,25,5509,,,Sheridan,95681,1219
